time, signal, pulse_flag
850, 4.38, 0
855, 2.87, 0
859, 2.83, 0
863, 4.31, 0
866, 5.05, 0
870, 3.85, 0
874, 2.30, 0
878, 2.27, 0
882, 3.77, 0
886, 4.55, 0
890, 3.44, 0
894, 2.04, 0
899, 2.17, 0
903, 3.80, 0
907, 4.63, 0
911, 3.49, 0
914, 1.99, 0
918, 1.96, 0
922, 3.39, 0
926, 3.99, 0
930, 2.67, 0
934, 1.11, 0
939, 1.15, 0
943, 2.75, 0
947, 3.57, 0
951, 2.50, 0
955, 1.14, 0
958, 1.29, 0
962, 2.90, 0
966, 3.65, 0
970, 2.47, 0
974, 1.01, 0
978, 1.07, 0
983, 2.58, 0
987, 3.22, 0
991, 1.96, 0
995, 0.47, 0
999, 0.55, 0
1003, 2.11, 0
1006, 2.81, 0
1010, 1.63, 0
1014, 0.24, 0
1018, 0.39, 0
1022, 1.98, 0
1027, 2.67, 0
1031, 1.46, 0
1035, 0.07, 0
1039, 0.24, 0
1043, 1.86, 0
1047, 2.57, 0
1050, 1.37, 0
1054, -0.04, 0
1058, 0.09, 0
1062, 1.63, 0
1067, 2.24, 0
1071, 0.99, 0
1075, -0.42, 0
1079, -0.27, 0
1083, 1.27, 0
1087, 1.86, 0
1091, 0.58, 0
1094, -0.84, 0
1098, -0.72, 0
1102, 0.80, 0
1106, 1.38, 0
1111, 0.12, 0
1115, -1.23, 0
1119, -0.99, 0
1123, 0.68, 0
1127, 1.42, 0
1131, 0.38, 0
1135, -0.75, 0
1139, -0.34, 0
1142, 1.36, 0
1146, 2.05, 0
1150, 0.92, 0
1155, -0.28, 0
1159, 0.02, 0
1163, 1.55, 0
1167, 2.05, 0
1171, 0.74, 0
1175, -0.61, 0
1179, -0.42, 0
1183, 1.04, 0
1187, 1.48, 0
1190, 0.18, 0
1195, -1.10, 0
1199, -0.80, 0
1203, 0.78, 0
1207, 1.34, 0
1211, 0.16, 0
1215, -1.03, 0
1219, -0.69, 0
1223, 0.85, 0
1227, 1.33, 0
1231, 0.09, 0
1234, -1.14, 0
1239, -0.83, 0
1243, 0.67, 0
1247, 1.09, 0
1251, -0.21, 0
1255, -1.49, 0
1259, -1.24, 0
1263, 0.17, 0
1267, 0.52, 0
1271, -0.77, 0
1275, -1.96, 0
1278, -1.60, 0
1283, -0.07, 0
1287, 0.37, 0
1291, -0.80, 0
1295, -1.90, 0
1299, -1.49, 0
1303, -0.01, 0
1307, 0.37, 0
1311, -0.84, 0
1315, -1.94, 0
1319, -1.50, 0
1324, -0.03, 0
1327, 0.31, 0
1331, -0.92, 0
1335, -2.01, 0
1339, -1.59, 0
1343, -0.16, 0
1347, 0.14, 0
1351, -1.04, 0
1355, -2.01, 0
1359, -1.43, 0
1363, 0.11, 0
1368, 0.46, 0
1372, -0.68, 0
1375, -1.63, 0
1379, -1.09, 0
1383, 0.34, 0
1387, 0.55, 0
1391, -0.72, 0
1395, -1.73, 0
1399, -1.21, 0
1403, 0.21, 0
1408, 0.44, 0
1412, -0.78, 0
1416, -1.71, 0
1419, -1.13, 0
1423, 0.30, 0
1427, 0.50, 0
1431, -0.72, 0
1435, -1.62, 0
1439, -0.97, 0
1443, 0.50, 0
1447, 0.74, 0
1452, -0.40, 0
1456, -1.25, 0
1460, -0.63, 0
1463, 0.68, 0
1467, 0.69, 0
1471, -0.67, 0
1475, -1.65, 0
1479, -1.06, 0
1483, 0.33, 0
1487, 0.34, 0
1491, -1.14, 0
1496, -2.51, 0
1500, -2.55, 0
1504, -1.90, 0
1508, -2.30, 0
1511, -3.63, 0
1515, -3.99, 0
1519, -2.32, 0
1523, 0.29, 0
1527, 1.75, 0
1531, 1.77, 0
1536, 2.30, 0
1540, 5.71, 0
1544, 12.38, 1
1548, 20.43, 0
1552, 27.61, 0
1556, 33.06, 0
1560, 37.02, 0
1563, 39.45, 0
1567, 39.57, 0
1571, 37.10, 0
1575, 33.18, 0
1580, 29.53, 0
1584, 26.89, 0
1588, 24.61, 0
1592, 22.00, 0
1596, 19.51, 0
1600, 18.09, 0
1603, 17.76, 0
1607, 17.38, 0
1611, 16.04, 0
1615, 14.15, 0
1619, 12.76, 0
1624, 12.04, 0
1628, 11.09, 0
1632, 9.13, 0
1636, 6.53, 0
1640, 4.12, 0
1644, 1.95, 0
1647, -0.94, 0
1651, -5.30, 0
1655, -10.75, 0
1659, -16.35, 0
1664, -21.63, 0
1668, -26.76, 0
1672, -31.99, 0
1676, -36.80, 0
1680, -40.69, 0
1684, -43.47, 0
1688, -45.48, 0
1691, -47.12, 0
1695, -48.16, 0
1699, -48.50, 0
1703, -48.26, 0
1708, -47.92, 0
1712, -47.89, 0
1716, -47.77, 0
1720, -47.28, 0
1724, -46.40, 0
1728, -45.62, 0
1732, -45.25, 0
1736, -44.73, 0
1739, -43.56, 0
1743, -41.79, 0
1747, -40.18, 0
1752, -39.23, 0
1756, -38.45, 0
1760, -37.24, 0
1764, -35.59, 0
1768, -34.30, 0
1772, -33.87, 0
1776, -33.76, 0
1780, -33.27, 0
1783, -32.30, 0
1787, -31.61, 0
1792, -31.68, 0
1796, -31.92, 0
1800, -31.61, 0
1804, -30.70, 0
1808, -29.99, 0
1812, -30.05, 0
1816, -30.31, 0
1820, -30.07, 0
1824, -29.28, 0
1827, -28.75, 0
1831, -28.95, 0
1836, -29.31, 0
1840, -29.07, 0
1844, -28.22, 0
1848, -27.62, 0
1852, -27.78, 0
1856, -28.10, 0
1860, -27.85, 0
1864, -27.01, 0
1868, -26.45, 0
1872, -26.63, 0
1876, -26.93, 0
1881, -26.74, 0
1885, -26.12, 0
1889, -25.94, 0
1893, -26.32, 0
1897, -26.51, 0
1901, -26.08, 0
1905, -25.34, 0
1910, -25.18, 0
1914, -25.46, 0
1918, -25.41, 0
1923, -24.82, 0
1927, -24.23, 0
1931, -24.38, 0
1935, -24.91, 0
1939, -25.04, 0
1943, -24.61, 0
1947, -24.27, 0
1951, -24.56, 0
1956, -24.93, 0
1960, -24.72, 0
1965, -23.91, 0
1969, -23.40, 0
1973, -23.55, 0
1977, -23.68, 0
1981, -23.26, 0
1985, -22.46, 0
1989, -22.17, 0
1993, -22.44, 0
1997, -22.49, 0
2001, -22.02, 0
2006, -21.44, 0
2011, -21.57, 0
2015, -22.16, 0
2019, -22.39, 0
2023, -22.02, 0
2027, -21.63, 0
2031, -21.89, 0
2035, -22.36, 0
2039, -22.34, 0
2043, -21.76, 0
2048, -21.37, 0
2052, -21.63, 0
2057, -21.94, 0
2061, -21.66, 0
2065, -20.85, 0
2069, -20.41, 0
2073, -20.58, 0
2077, -20.66, 0
2081, -20.18, 0
2085, -19.44, 0
2089, -19.27, 0
2094, -19.58, 0
2099, -19.59, 0
2103, -19.12, 0
2107, -18.71, 0
2111, -19.08, 0
2115, -19.79, 0
2119, -20.04, 0
2123, -19.64, 0
2127, -19.29, 0
2131, -19.54, 0
2136, -19.87, 0
2140, -19.61, 0
2144, -18.79, 0
2148, -18.31, 0
2153, -18.54, 0
2157, -18.79, 0
2161, -18.51, 0
2165, -17.83, 0
2169, -17.61, 0
2173, -17.90, 0
2178, -17.93, 0
2182, -17.45, 0
2186, -16.90, 0
2190, -17.10, 0
2194, -17.76, 0
2198, -18.06, 0
2202, -17.73, 0
2206, -17.38, 0
2211, -17.65, 0
2215, -18.12, 0
2220, -18.05, 0
2224, -17.37, 0
2228, -16.88, 0
2232, -17.06, 0
2236, -17.30, 0
2240, -17.00, 0
2244, -16.23, 0
2248, -15.90, 0
2252, -16.22, 0
2257, -16.44, 0
2262, -16.09, 0
2266, -15.43, 0
2270, -15.33, 0
2274, -15.65, 0
2278, -15.66, 0
2282, -15.17, 0
2286, -14.74, 0
2290, -15.08, 0
2294, -15.78, 0
2299, -16.04, 0
2304, -15.69, 0
2308, -15.42, 0
2312, -15.78, 0
2316, -16.23, 0
2320, -16.09, 0
2324, -15.38, 0
2328, -14.97, 0
2332, -15.20, 0
2336, -15.39, 0
2340, -15.03, 0
2344, -14.30, 0
2349, -14.06, 0
2354, -14.38, 0
2358, -14.53, 0
2362, -14.18, 0
2366, -13.72, 0
2370, -13.93, 0
2374, -14.55, 0
2378, -14.83, 0
2382, -14.56, 0
2386, -14.33, 0
2391, -14.74, 0
2395, -15.38, 0
2400, -15.51, 0
2404, -15.06, 0
2408, -14.75, 0
2412, -15.03, 0
2416, -15.34, 0
2420, -15.09, 0
2424, -14.34, 0
2428, -13.93, 0
2433, -14.09, 0
2437, -14.18, 0
2441, -13.75, 0
2445, -13.04, 0
2450, -12.85, 0
2454, -13.12, 0
2458, -13.19, 0
2462, -12.87, 0
2466, -12.66, 0
2470, -13.16, 0
2475, -14.01, 0
2479, -14.44, 0
2483, -14.27, 0
2487, -14.13, 0
2491, -14.50, 0
2496, -14.90, 0
2500, -14.68, 0
2504, -13.88, 0
2508, -13.32, 0
2512, -13.34, 0
2516, -13.37, 0
2521, -12.88, 0
2525, -12.08, 0
2529, -11.76, 0
2533, -11.94, 0
2538, -11.99, 0
2542, -11.64, 0
2546, -11.33, 0
2550, -11.72, 0
2554, -12.49, 0
2558, -12.84, 0
2563, -12.56, 0
2567, -12.26, 0
2571, -12.53, 0
2575, -12.99, 0
2579, -13.01, 0
2583, -12.55, 0
2587, -12.32, 0
2592, -12.75, 0
2596, -13.28, 0
2600, -13.47, 0
2605, -13.37, 0
2609, -13.73, 0
2613, -14.55, 0
2617, -15.05, 0
2621, -14.72, 0
2625, -13.83, 0
2629, -13.14, 0
2634, -12.63, 0
2638, -11.70, 0
2642, -10.33, 0
2647, -9.19, 0
2651, -8.98, 0
2655, -9.29, 0
2659, -9.23, 0
2662, -8.63, 0
2666, -8.17, 0
2670, -8.52, 0
2674, -9.27, 0
2678, -9.52, 0
2682, -9.11, 0
2686, -8.74, 0
2691, -9.08, 0
2695, -9.72, 0
2699, -9.84, 0
2703, -9.35, 0
2707, -8.95, 0
2710, -9.29, 0
2714, -9.95, 0
2718, -10.11, 0
2722, -9.63, 0
2726, -9.25, 0
2731, -9.58, 0
2735, -10.16, 0
2739, -10.19, 0
2743, -9.56, 0
2747, -9.02, 0
2751, -9.19, 0
2755, -9.62, 0
2758, -9.50, 0
2762, -8.74, 0
2766, -8.14, 0
2770, -8.32, 0
2775, -8.86, 0
2779, -8.91, 0
2783, -8.36, 0
2787, -7.96, 0
2791, -8.29, 0
2795, -8.92, 0
2799, -9.04, 0
2802, -8.56, 0
2806, -8.24, 0
2810, -8.63, 0
2814, -9.25, 0
2819, -9.29, 0
2823, -8.66, 0
2827, -8.16, 0
2831, -8.39, 0
2835, -8.90, 0
2839, -8.92, 0
2843, -8.37, 0
2847, -8.00, 0
2850, -8.37, 0
2854, -8.99, 0
2859, -9.07, 0
2863, -8.53, 0
2867, -8.16, 0
2871, -8.46, 0
2875, -8.94, 0
2879, -8.81, 0
2883, -8.02, 0
2887, -7.42, 0
2891, -7.55, 0
2894, -7.92, 0
2898, -7.73, 0
2903, -6.98, 0
2907, -6.49, 0
2911, -6.81, 0
2915, -7.38, 0
2919, -7.39, 0
2923, -6.76, 0
2927, -6.34, 0
2931, -6.63, 0
2935, -7.14, 0
2939, -7.08, 0
2942, -6.44, 0
2947, -6.06, 0
2951, -6.47, 0
2955, -7.13, 0
2959, -7.24, 0
2963, -6.74, 0
2967, -6.45, 0
2971, -6.85, 0
2975, -7.41, 0
2979, -7.40, 0
2983, -6.79, 0
2987, -6.43, 0
2991, -6.80, 0
2995, -7.35, 0
2999, -7.36, 0
3003, -6.82, 0
3007, -6.54, 0
3011, -6.99, 0
3015, -7.59, 0
3019, -7.59, 0
3023, -6.98, 0
3027, -6.62, 0
3032, -6.95, 0
3035, -7.43, 0
3039, -7.36, 0
3043, -6.74, 0
3047, -6.43, 0
3051, -6.83, 0
3055, -7.35, 0
3059, -7.25, 0
3063, -6.54, 0
3067, -6.13, 0
3072, -6.44, 0
3076, -6.92, 0
3079, -6.86, 0
3083, -6.28, 0
3087, -6.03, 0
3091, -6.51, 0
3095, -7.09, 0
3099, -7.09, 0
3103, -6.52, 0
3107, -6.24, 0
3111, -6.65, 0
3116, -7.13, 0
3120, -6.96, 0
3123, -6.19, 0
3127, -5.72, 0
3131, -5.99, 0
3135, -6.41, 0
3139, -6.29, 0
3143, -5.65, 0
3147, -5.37, 0
3151, -5.82, 0
3155, -6.38, 0
3160, -6.36, 0
3164, -5.81, 0
3168, -5.62, 0
3171, -6.13, 0
3175, -6.71, 0
3179, -6.70, 0
3183, -6.15, 0
3187, -5.95, 0
3191, -6.43, 0
3195, -6.96, 0
3200, -6.88, 0
3204, -6.27, 0
3208, -6.01, 0
3212, -6.43, 0
3215, -6.88, 0
3219, -6.76, 0
3223, -6.13, 0
3227, -5.88, 0
3231, -6.31, 0
3235, -6.74, 0
3239, -6.54, 0
3244, -5.82, 0
3248, -5.47, 0
3252, -5.83, 0
3256, -6.20, 0
3259, -5.96, 0
3263, -5.21, 0
3267, -4.86, 0
3271, -5.22, 0
3275, -5.63, 0
3279, -5.48, 0
3283, -4.88, 0
3288, -4.70, 0
3292, -5.19, 0
3296, -5.65, 0
3300, -5.51, 0
3304, -4.89, 0
3307, -4.71, 0
3311, -5.21, 0
3315, -5.71, 0
3319, -5.61, 0
3323, -5.04, 0
3328, -4.85, 0
3332, -5.27, 0
3336, -5.61, 0
3340, -5.31, 0
3344, -4.56, 0
3348, -4.30, 0
3351, -4.78, 0
3355, -5.29, 0
3359, -5.26, 0
3363, -4.81, 0
3367, -4.79, 0
3372, -5.37, 0
3376, -5.83, 0
3380, -5.62, 0
3384, -4.93, 0
3388, -4.65, 0
3392, -4.99, 0
3396, -5.29, 0
3399, -5.01, 0
3403, -4.36, 0
3407, -4.19, 0
3411, -4.66, 0
3416, -5.03, 0
3420, -4.74, 0
3424, -4.03, 0
3428, -3.78, 0
3432, -4.14, 0
3436, -4.43, 0
3440, -4.12, 0
3443, -3.45, 0
3447, -3.30, 0
3451, -3.79, 0
3456, -4.18, 0
3460, -3.94, 0
3464, -3.33, 0
3468, -3.22, 0
3472, -3.72, 0
3476, -4.09, 0
3480, -3.82, 0
3484, -3.17, 0
3488, -3.04, 0
3491, -3.51, 0
3495, -3.86, 0
3500, -3.56, 0
3504, -2.90, 0
3508, -2.73, 0
3512, -3.16, 0
3516, -3.44, 0
3520, -3.09, 0
3524, -2.40, 0
3528, -2.26, 0
3532, -2.74, 0
3535, -3.08, 0
3539, -2.81, 0
3544, -2.23, 0
3548, -2.22, 0
3552, -2.82, 0
3556, -3.24, 0
3560, -3.01, 0
3564, -2.45, 0
3568, -2.46, 0
3572, -3.06, 0
3576, -3.46, 0
3579, -3.17, 0
3584, -2.53, 0
3588, -2.41, 0
3592, -2.86, 0
3596, -3.14, 0
3600, -2.79, 0
3604, -2.17, 0
3608, -2.12, 0
3612, -2.63, 0
3616, -2.93, 0
3620, -2.58, 0
3624, -1.94, 0
3628, -1.91, 0
3632, -2.46, 0
3636, -2.77, 0
3640, -2.38, 0
3644, -1.67, 0
3648, -1.49, 0
3652, -1.83, 0
3656, -1.94, 0
3660, -1.43, 0
3664, -0.75, 0
3668, -0.80, 0
3672, -1.51, 0
3676, -2.02, 0
3680, -1.88, 0
3684, -1.46, 0
3688, -1.63, 0
3692, -2.36, 0
3696, -2.88, 0
3700, -2.82, 0
3704, -2.56, 0
3708, -2.91, 0
3713, -3.76, 0
3717, -4.30, 0
3720, -4.15, 0
3724, -3.73, 0
3728, -3.87, 0
3732, -4.48, 0
3736, -4.77, 0
3740, -4.41, 0
3744, -3.83, 0
3748, -3.86, 0
3752, -4.41, 0
3757, -4.65, 0
3761, -4.29, 0
3764, -3.73, 0
3768, -3.79, 0
3772, -4.33, 0
3776, -4.51, 0
3780, -4.02, 0
3784, -3.32, 0
3788, -3.27, 0
3792, -3.75, 0
3796, -3.95, 0
3801, -3.58, 0
3805, -3.09, 0
3809, -3.24, 0
3812, -3.84, 0
3816, -3.98, 0
3820, -3.36, 0
3824, -2.49, 0
3828, -2.26, 0
3832, -2.58, 0
3836, -2.66, 0
3841, -2.23, 0
3845, -1.77, 0
3849, -2.04, 0
3853, -2.77, 0
3856, -3.05, 0
3860, -2.54, 0
3864, -1.78, 0
3868, -1.64, 0
3872, -2.00, 0
3876, -2.05, 0
3880, -1.55, 0
3885, -1.01, 0
3889, -1.23, 0
3893, -1.97, 0
3897, -2.32, 0
3900, -2.00, 0
3904, -1.53, 0
3908, -1.72, 0
3912, -2.34, 0
3916, -2.56, 0
3920, -2.11, 0
3924, -1.55, 0
3929, -1.70, 0
3933, -2.35, 0
3937, -2.63, 0
3941, -2.31, 0
3945, -1.94, 0
3948, -2.27, 0
3952, -3.02, 0
3956, -3.31, 0
3960, -2.91, 0
3964, -2.38, 0
3969, -2.54, 0
3973, -3.14, 0
3977, -3.35, 0
3981, -2.98, 0
3985, -2.55, 0
3989, -2.83, 0
3992, -3.54, 0
3996, -3.82, 0
4000, -3.49, 0
4004, -3.07, 0
4008, -3.30, 0
4013, -3.88, 0
4017, -3.96, 0
4021, -3.36, 0
4025, -2.70, 0
4029, -2.73, 0
4033, -3.18, 0
4036, -3.23, 0
4040, -2.68, 0
4044, -2.13, 0
4048, -2.29, 0
4052, -2.80, 0
4057, -2.76, 0
4061, -1.99, 0
4065, -1.18, 0
4069, -1.13, 0
4073, -1.55, 0
4077, -1.59, 0
4080, -1.07, 0
4084, -0.61, 0
4088, -0.91, 0
4092, -1.59, 0
4097, -1.76, 0
4101, -1.26, 0
4105, -0.74, 0
4109, -0.97, 0
4113, -1.62, 0
4117, -1.88, 0
4121, -1.56, 0
4125, -1.28, 0
4128, -1.69, 0
4132, -2.44, 0
4136, -2.67, 0
4141, -2.21, 0
4145, -1.73, 0
4149, -1.92, 0
4153, -2.47, 0
4157, -2.56, 0
4161, -2.02, 0
4165, -1.51, 0
4169, -1.71, 0
4173, -2.27, 0
4176, -2.37, 0
4180, -1.86, 0
4185, -1.41, 0
4189, -1.66, 0
4193, -2.23, 0
4197, -2.28, 0
4201, -1.69, 0
4205, -1.14, 0
4209, -1.32, 0
4213, -1.84, 0
4217, -1.87, 0
4220, -1.29, 0
4225, -0.79, 0
4229, -1.02, 0
4233, -1.59, 0
4237, -1.65, 0
4241, -1.09, 0
4245, -0.60, 0
4249, -0.85, 0
4253, -1.43, 0
4257, -1.50, 0
4261, -0.95, 0
4265, -0.50, 0
4269, -0.78, 0
4273, -1.36, 0
4277, -1.42, 0
4281, -0.84, 0
4285, -0.36, 0
4289, -0.62, 0
4293, -1.21, 0
4297, -1.30, 0
4301, -0.78, 0
4305, -0.38, 0
4310, -0.73, 0
4313, -1.38, 0
4317, -1.54, 0
4321, -1.09, 0
4325, -0.75, 0
4329, -1.12, 0
4333, -1.71, 0
4337, -1.75, 0
4341, -1.14, 0
4345, -0.67, 0
4349, -0.95, 0
4354, -1.56, 0
4357, -1.70, 0
4361, -1.27, 0
4365, -0.99, 0
4369, -1.41, 0
4373, -2.04, 0
4377, -2.11, 0
4381, -1.54, 0
4385, -1.08, 0
4389, -1.34, 0
4393, -1.86, 0
4398, -1.89, 0
4402, -1.35, 0
4405, -0.98, 0
4409, -1.33, 0
4413, -1.93, 0
4417, -2.01, 0
4421, -1.51, 0
4425, -1.18, 0
4429, -1.57, 0
4433, -2.15, 0
4438, -2.17, 0
4442, -1.58, 0
4446, -1.14, 0
4449, -1.41, 0
4453, -1.90, 0
4457, -1.86, 0
4461, -1.27, 0
4465, -0.89, 0
4469, -1.24, 0
4473, -1.80, 0
4477, -1.80, 0
4482, -1.20, 0
4486, -0.81, 0
4490, -1.14, 0
4494, -1.69, 0
4497, -1.69, 0
4501, -1.10, 0
4505, -0.73, 0
4509, -1.07, 0
4513, -1.61, 0
4517, -1.62, 0
4521, -1.08, 0
4526, -0.78, 0
4530, -1.18, 0
4534, -1.72, 0
4538, -1.64, 0
4541, -0.94, 0
4545, -0.46, 0
4549, -0.73, 0
4553, -1.22, 0
4557, -1.20, 0
4561, -0.63, 0
4566, -0.33, 0
4570, -0.73, 0
4574, -1.28, 0
4578, -1.23, 0
4582, -0.59, 0
4586, -0.23, 0
4589, -0.61, 0
4593, -1.15, 0
4597, -1.14, 0
4601, -0.57, 0
4605, -0.30, 0
4610, -0.76, 0
4614, -1.40, 0
4618, -1.50, 0
4622, -1.04, 0
4626, -0.85, 0
4630, -1.33, 0
4633, -1.90, 0
4637, -1.87, 0
4641, -1.26, 0
4645, -0.94, 0
4649, -1.33, 0
4654, -1.82, 0
4658, -1.72, 0
4662, -1.06, 0
4666, -0.73, 0
4670, -1.12, 0
4674, -1.64, 0
4677, -1.63, 0
4681, -1.11, 0
4685, -0.91, 0
4689, -1.41, 0
4694, -1.94, 0
4698, -1.81, 0
4702, -1.08, 0
4706, -0.66, 0
4710, -0.97, 0
4714, -1.42, 0
4718, -1.33, 0
4722, -0.76, 0
4725, -0.57, 0
4729, -1.10, 0
4733, -1.68, 0
4738, -1.63, 0
4742, -1.00, 0
4746, -0.70, 0
4750, -1.10, 0
4754, -1.58, 0
4758, -1.48, 0
4762, -0.87, 0
4766, -0.62, 0
4770, -1.06, 0
4773, -1.55, 0
4777, -1.45, 0
4782, -0.84, 0
4786, -0.64, 0
4790, -1.16, 0
4794, -1.71, 0
4798, -1.63, 0
4802, -1.01, 0
4806, -0.76, 0
4810, -1.17, 0
4814, -1.61, 0
4817, -1.43, 0
4822, -0.75, 0
4826, -0.46, 0
4830, -0.87, 0
4834, -1.31, 0
4838, -1.18, 0
4842, -0.59, 0
4846, -0.44, 0
4850, -1.00, 0
4854, -1.57, 0
4858, -1.55, 0
4862, -1.08, 0
4866, -1.02, 0
4870, -1.58, 0
4874, -2.01, 0
4878, -1.75, 0
4882, -0.98, 0
4886, -0.64, 0
4890, -0.99, 0
4894, -1.35, 0
4898, -1.12, 0
4902, -0.47, 0
4907, -0.29, 0
4910, -0.76, 0
4914, -1.18, 0
4918, -0.95, 0
4922, -0.26, 0
4926, -0.03, 0
4930, -0.45, 0
4934, -0.85, 0
4938, -0.69, 0
4942, -0.17, 0
4946, -0.14, 0
4951, -0.74, 0
4954, -1.23, 0
4958, -1.03, 0
4962, -0.36, 0
4966, -0.14, 0
4970, -0.54, 0
4974, -0.85, 0
4978, -0.57, 0
4982, 0.08, 0
4986, 0.20, 0
4990, -0.36, 0
4995, -0.84, 0
4998, -0.72, 0
5002, -0.19, 0
5006, -0.13, 0
5010, -0.65, 0
5014, -1.02, 0
5018, -0.77, 0
5022, -0.18, 0
5026, -0.14, 0
5030, -0.73, 0
5035, -1.19, 0
5039, -1.01, 0
5043, -0.45, 0
5046, -0.39, 0
5050, -0.92, 0
5054, -1.31, 0
5058, -1.05, 0
5062, -0.43, 0
5066, -0.32, 0
5070, -0.79, 0
5074, -1.10, 0
5079, -0.81, 0
5083, -0.20, 0
5087, -0.15, 0
5091, -0.69, 0
5094, -1.03, 0
5098, -0.72, 0
5102, -0.10, 0
5106, -0.06, 0
5110, -0.61, 0
5114, -0.99, 0
5118, -0.72, 0
5123, -0.14, 0
5127, -0.10, 0
5131, -0.61, 0
5135, -0.96, 0
5138, -0.70, 0
5142, -0.19, 0
5146, -0.27, 0
5150, -0.86, 0
5154, -1.16, 0
5158, -0.74, 0
5163, -0.01, 0
5167, 0.13, 0
5171, -0.31, 0
5175, -0.57, 0
5179, -0.22, 0
5183, 0.36, 0
5186, 0.31, 0
5190, -0.30, 0
5194, -0.67, 0
5198, -0.39, 0
5202, 0.16, 0
5207, 0.11, 0
5211, -0.48, 0
5215, -0.81, 0
5219, -0.49, 0
